site,url,timestamp,accessibility_violations,accessibility_score,contrast_violations,contrast_avg,contrast_score,dark_pattern_flags,dark_pattern_score,keyboard_issues,screen_reader_issues,functional_issues,keyboard_score,screen_reader_score,tab_order_length,agentic_only_issues,dfs,technical_tier,perceptual_tier,ethical_tier,total_static_issues,total_issues,fixes_generated
example.com,https://example.com,2026-04-18T23:39:27.833022,0,,4,4.04,0,0,1.0,0,2,1,1.0,0.8667,1,3,0.6733,0.9333,0.0,1.0,4,7,0
wikipedia.org,https://en.wikipedia.org/wiki/Main_Page,2026-04-18T23:39:32.856167,0,,3,6.63,0.0156,0,1.0,2,5,0,0.8,0.6667,135,7,0.598,0.7333,0.0156,1.0,3,10,0
w3.org_wai,https://www.w3.org/WAI/,2026-04-18T23:39:50.488328,0,,6,4.86,0,0,1.0,0,1,1,1.0,0.9333,75,2,0.6867,0.9667,0.0,1.0,6,8,0
iitk.ac.in,https://www.iitk.ac.in/,2026-04-18T23:40:04.418535,0,,6,3.15,0,0,1.0,2,5,0,0.8,0.6667,10,7,0.5933,0.7333,0.0,1.0,6,13,0
python.org,https://www.python.org/,2026-04-18T23:40:16.758140,0,,3,6.48,0.0086,1,0.9375,1,3,1,0.9,0.8,17,5,0.6238,0.85,0.0086,0.9375,4,9,0
